Phase,Total_time_s,Speed_kmh
Low3,0,0
Low3,1,0
Low3,2,0
Low3,3,0
Low3,4,0
Low3,5,0
Low3,6,0
Low3,7,0
Low3,8,0
Low3,9,0
Low3,10,0
Low3,11,0
Low3,12,0.2
Low3,13,1.7
Low3,14,5.4
Low3,15,9.9
Low3,16,13.1
Low3,17,16.9
Low3,18,21.7
Low3,19,26
Low3,20,27.5
Low3,21,28.1
Low3,22,28.3
Low3,23,28.8
Low3,24,29.1
Low3,25,30.8
Low3,26,31.9
Low3,27,34.1
Low3,28,36.6
Low3,29,39.1
Low3,30,41.3
Low3,31,42.5
Low3,32,43.3
Low3,33,43.9
Low3,34,44.4
Low3,35,44.5
Low3,36,44.2
Low3,37,42.7
Low3,38,39.9
Low3,39,37
Low3,40,34.6
Low3,41,32.3
Low3,42,29
Low3,43,25.1
Low3,44,22.2
Low3,45,20.9
Low3,46,20.4
Low3,47,19.5
Low3,48,18.4
Low3,49,17.8
Low3,50,17.8
Low3,51,17.4
Low3,52,15.7
Low3,53,13.1
Low3,54,12.1
Low3,55,12
Low3,56,12
Low3,57,12
Low3,58,12.3
Low3,59,12.6
Low3,60,14.7
Low3,61,15.3
Low3,62,15.9
Low3,63,16.2
Low3,64,17.1
Low3,65,17.8
Low3,66,18.1
Low3,67,18.4
Low3,68,20.3
Low3,69,23.2
Low3,70,26.5
Low3,71,29.8
Low3,72,32.6
Low3,73,34.4
Low3,74,35.5
Low3,75,36.4
Low3,76,37.4
Low3,77,38.5
Low3,78,39.3
Low3,79,39.5
Low3,80,39
Low3,81,38.5
Low3,82,37.3
Low3,83,37
Low3,84,36.7
Low3,85,35.9
Low3,86,35.3
Low3,87,34.6
Low3,88,34.2
Low3,89,31.9
Low3,90,27.3
Low3,91,22
Low3,92,17
Low3,93,14.2
Low3,94,12
Low3,95,9.1
Low3,96,5.8
Low3,97,3.6
Low3,98,2.2
Low3,99,0
Low3,100,0
Low3,101,0
Low3,102,0
Low3,103,0
Low3,104,0
Low3,105,0
Low3,106,0
Low3,107,0
Low3,108,0
Low3,109,0
Low3,110,0
Low3,111,0
Low3,112,0
Low3,113,0
Low3,114,0
Low3,115,0
Low3,116,0
Low3,117,0
Low3,118,0
Low3,119,0
Low3,120,0
Low3,121,0
Low3,122,0
Low3,123,0
Low3,124,0
Low3,125,0
Low3,126,0
Low3,127,0
Low3,128,0
Low3,129,0
Low3,130,0
Low3,131,0
Low3,132,0
Low3,133,0
Low3,134,0
Low3,135,0
Low3,136,0
Low3,137,0
Low3,138,0.2
Low3,139,1.9
Low3,140,6.1
Low3,141,11.7
Low3,142,16.4
Low3,143,18.9
Low3,144,19.9
Low3,145,20.8
Low3,146,22.8
Low3,147,25.4
Low3,148,27.7
Low3,149,29.2
Low3,150,29.8
Low3,151,29.4
Low3,152,27.2
Low3,153,22.6
Low3,154,17.3
Low3,155,13.3
Low3,156,12
Low3,157,12.6
Low3,158,14.1
Low3,159,17.2
Low3,160,20.1
Low3,161,23.4
Low3,162,25.5
Low3,163,27.6
Low3,164,29.5
Low3,165,31.1
Low3,166,32.1
Low3,167,33.2
Low3,168,35.2
Low3,169,37.2
Low3,170,38
Low3,171,37.4
Low3,172,35.1
Low3,173,31
Low3,174,27.1
Low3,175,25.3
Low3,176,25.1
Low3,177,25.9
Low3,178,27.8
Low3,179,29.2
Low3,180,29.6
Low3,181,29.5
Low3,182,29.2
Low3,183,28.3
Low3,184,26.1
Low3,185,23.6
Low3,186,21
Low3,187,18.9
Low3,188,17.1
Low3,189,15.7
Low3,190,14.5
Low3,191,13.7
Low3,192,12.9
Low3,193,12.5
Low3,194,12.2
Low3,195,12
Low3,196,12
Low3,197,12
Low3,198,12
Low3,199,12.5
Low3,200,13
Low3,201,14
Low3,202,15
Low3,203,16.5
Low3,204,19
Low3,205,21.2
Low3,206,23.8
Low3,207,26.9
Low3,208,29.6
Low3,209,32
Low3,210,35.2
Low3,211,37.5
Low3,212,39.2
Low3,213,40.5
Low3,214,41.6
Low3,215,43.1
Low3,216,45
Low3,217,47.1
Low3,218,49
Low3,219,50.6
Low3,220,51.8
Low3,221,52.7
Low3,222,53.1
Low3,223,53.5
Low3,224,53.8
Low3,225,54.2
Low3,226,54.8
Low3,227,55.3
Low3,228,55.8
Low3,229,56.2
Low3,230,56.5
Low3,231,56.5
Low3,232,56.2
Low3,233,54.9
Low3,234,52.9
Low3,235,51
Low3,236,49.8
Low3,237,49.2
Low3,238,48.4
Low3,239,46.9
Low3,240,44.3
Low3,241,41.5
Low3,242,39.5
Low3,243,37
Low3,244,34.6
Low3,245,32.3
Low3,246,29
Low3,247,25.1
Low3,248,22.2
Low3,249,20.9
Low3,250,20.4
Low3,251,19.5
Low3,252,18.4
