eng_rpm,0,10,20,30,40,50,60,70,80,90,100,110,120
1000,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1250,999.0,999.0,999.0,999.0,246.43,213.57,180.71,164.29,156.07,151.14,147.86,149.5,156.07
1500,999.0,999.0,164.29,147.86,131.43,123.21,108.39,88.31,78.4,72.83,69.68,74.19,81.3
1750,999.0,999.0,156.07,131.43,133.52,119.28,106.72,86.92,77.14,71.66,70.29,73.01,80.04
2000,999.0,999.0,147.86,131.43,113.07,99.67,87.79,82.35,76.12,72.38,71.04,72.06,79.01
2250,999.0,999.0,143.75,123.21,107.34,94.21,82.56,76.41,71.13,68.3,66.94,68.77,73.87
2500,999.0,999.0,139.64,135.99,101.98,89.08,77.65,71.62,66.44,64.47,63.12,64.04,69.01
2750,999.0,999.0,135.54,125.78,96.94,84.28,73.01,67.1,62.83,60.88,61.18,62.07,66.99
3000,999.0,999.0,131.43,115.95,92.2,79.72,68.61,63.65,59.43,57.5,57.78,58.63,63.47
3250,999.0,999.0,135.88,121.25,94.88,88.93,68.88,63.91,59.67,57.73,58.02,60.54,65.44
3500,999.0,999.0,145.19,134.85,110.06,103.47,69.7,63.83,62.91,60.1,60.39,61.27,67.55
3750,999.0,999.0,155.38,125.98,124.08,114.68,71.08,60.76,59.9,59.61,59.9,60.76,71.08
4000,999.0,999.0,170.86,136.69,137.2,122.51,73.04,62.45,61.57,61.28,63.33,64.23,77.61
4250,999.0,999.0,187.65,152.73,135.28,139.64,85.04,71.6,63.75,63.45,65.57,66.49,85.04
4500,999.0,999.0,205.93,170.12,152.21,143.26,98.45,77.01,66.46,66.16,68.36,72.2,93.54
4750,999.0,999.0,225.9,189.02,170.58,161.36,113.57,85.83,69.74,69.42,74.73,79.55,105.3
5000,999.0,999.0,247.74,209.62,190.58,181.04,130.67,95.91,73.61,78.53,84.13,92.39,118.92
5250,999.0,999.0,266.7,227.19,207.43,197.56,128.41,107.41,78.13,88.89,94.86,104.81,134.65
5500,999.0,999.0,287.5,246.42,236.16,225.89,143.75,120.53,83.32,94.81,107.13,119.1,133.07
